Type,Temperature(K),RGB
K5Ib,3700,255.209.154
K5II,3700,255.216.156
K5III,3700,255.204.138
K5IV,4200,255.217.165
K5V,4200,255.210.161
K5VI,4200,255.210.161
K6Ia0,3717,255.208.152
K6Ia,3717,255.208.152
K6Ib,3717,255.208.152
K6II,3717,255.214.152
K6III,3717,255.206.140
K6IV,4060,255.216.164
K6V,4060,255.205.152
K6VI,4060,255.205.152
K7Ia0,3733,255.207.150
K7Ia,3733,255.207.150
K7Ib,3733,255.207.150
K7II,3733,255.212.147
K7III,3733,255.208.142
K7IV,3920,255.216.163
K7V,3920,255.199.142
K7VI,3920,255.199.142
K8Ia0,3750,255.206.147
K8Ia,3750,255.206.147
K8Ib,3750,255.206.147
K8II,3750,255.210.142
K8III,3750,255.206.139
K8IV,3780,255.215.162
K8V,3780,255.209.174
K8VI,3780,255.209.174
K9Ia0,3725,255.205.145
K9Ia,3725,255.205.145
K9Ib,3725,255.205.145
K9II,3725,255.209.138
K9III,3725,255.205.135
K9IV,3640,255.214.161
K9V,3640,255.202.157
K9VI,3640,255.202.157
M0Ia0,3700,255.204.143
M0Ia,3700,255.204.143
M0Ib,3700,255.204.143
M0II,3700,255.207.133
M0III,3700,255.203.132
M0IV,3500,255.213.160
M0V,3500,255.195.139
M0VI,3500,255.195.139
M1Ia0,3510,255.202.138
M1Ia,3510,255.202.138
M1Ib,3510,255.202.138
M1II,3510,255.205.128
M1III,3510,255.200.121
M1IV,3333,255.212.159
M1V,3333,255.204.142
M1VI,3333,255.204.142
M2Ia0,3320,255.193.104
M2Ia,3320,255.193.104
M2Ib,3320,255.193.104
M2II,3320,255.203.124
M2III,3320,255.198.118
M2IV,3167,255.211.157
M2V,3167,255.196.131
M2VI,3167,255.196.131
M3Ia0,3130,255.192.118
M3Ia,3130,255.192.118
M3Ib,3130,255.192.118
M3II,3130,255.201.119
M3III,3130,255.200.119
M3IV,3000,255.210.156
M3V,3000,255.206.129
M3VI,3000,255.206.129
M4Ia0,2940,255.185.104
M4Ia,2940,255.185.104
M4Ib,2940,255.185.104
M4II,2940,255.199.114
M4III,2940,255.206.127
M4IV,2833,255.209.155
M4V,2833,255.201.127
M4VI,2833,255.201.127
M5Ia0,2750,255.178.078
M5Ia,2750,255.178.078
M5Ib,2750,255.178.078
M5II,2750,255.197.110
M5III,2750,255.197.124
M5IV,2667,255.209.154
M5V,2667,255.204.111
M5VI,2667,255.204.111
M6Ia0,2560,255.171.052
M6Ia,2560,255.171.052
M6Ib,2560,255.171.052
M6II,2560,255.195.105
M6III,2560,255.178.121
M6IV,2500,255.208.153
M6V,2500,255.195.112
M6VI,2500,255.195.112
M7Ia0,2370,255.164.026
M7Ia,2370,255.164.026
M7Ib,2370,255.164.026
M7II,2370,255.193.100
M7III,2370,255.165.097
M7IV,2333,255.207.152
M7V,2333,255.197.111
M7VI,2333,255.197.111
M8Ia0,2180,255.157.000
M8Ia,2180,255.157.000
M8Ib,2180,255.157.000
M8II,2180,255.192.096
M8III,2180,255.167.097
M8IV,2167,255.206.151
M8V,2167,255.198.109
M8VI,2167,255.198.109
M9Ia0,1990,255.157.000
M9Ia,1990,255.157.000
M9Ib,1990,255.157.000
M9II,1990,255.190.091
M9III,1990,255.233.154
M9IV,2000,255.205.150
M9V,2000,255.198.108
M9VI,2000,255.198.108
